# 출처: https://datalaw.kr/mediation/ · 수집일 2026-09-11 · 개인정보분쟁조정위원회 공개 사례에서 기계 추출한 요약으로 정확성을 보증하지 않습니다. 근거로 쓰기 전에 위원회 원문을 확인하십시오 · 정정 요청: hyunsub.lee@seumlaw.com
연번,연도,구분,침해유형,제목,손해배상 금액,결론,판단 이유,인용 조문,원문,행 주소
49,2025,조정결정사례,동의 없는 개인정보 수집,개인 휴대전화를 이용하여 업무를 처리한 것에 대한 손해배상 등 요구,,기각,"신청인이 자필로 서명한 피신청인의 개인(신용)정보 수집‧이용‧제공‧조회 동의서에 따르면, 피신청인은 개인정보의 수집 목적으로 채무조정 등 업무 상담 및 지원을 명시하고 있음을 확인할 수 있고…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2068&VA=content,https://datalaw.kr/mediation/#m-2068
50,2025,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,개인정보 열람요구에 불응한 것 등에 대한 손해배상 등 요구,,"재발방지 조치, 기각",신청인이 보호위원회를 통하여 요청한 개인정보 열람요구서가 피신청인의 담당자현황 관리(최신화) 소홀로 전달되지 못한 점이 인정되므로 재발방지 대책 마련 필요,제30조 · 제35조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2059&VA=content,https://datalaw.kr/mediation/#m-2059
51,2025,조정결정사례,동의 없는 개인정보 수집,동의 없이 개인정보를 처리한 것에 대한 손해배상 등 요구,,기각,피신청인은 신청인의 요구에 따라 개인정보 정정·삭제 요구를 받은 날부터 10일 이내에 개인정보의 정정·삭제 등의 조치를 하였으므로 보호법 제36조 제2항을 위반하였다고 보기 어려움,제2조 · 제18조 · 제36조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2050&VA=content,https://datalaw.kr/mediation/#m-2050
52,2025,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,동의없는 개인정보 국외이전에 대한 손해배상 등 요구,20만원,손해배상(20만원),"피신청인은 B와의 위수탁 계약에 의해 개인정보를 제공하였으므로 동의 없는 국외 이전이 가능하다고 주장하나, 피신청인이 제3자인 B에게 A의 결제수단 연동을 위한 NSF 모델 구축 및 점수 산출을 위해 신청인들에게 별도 동의를 받거나…",제28조의8 · 제28조의9,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2049&VA=content,https://datalaw.kr/mediation/#m-2049
53,2025,조정결정사례,동의 없는 개인정보 수집,동의 없이 사진을 홈페이지에 게시한 것에 대한 손해배상 등 요구,5만원,"손해배상(신청인들 각 5만원), 재발방지 조치","피신청인이 신청인들의 개인정보를 수집이용하는 과정에서 신청인들의 동의를 받은 사실을 확인할 수 없으므로, 피신청인은 보호법 제15조 제1항을 위반한 것으로 판단됨. 다만 피신청인이 신청인들의 삭제 요구에 응하여 해당 사진을 즉시 삭제한 점, 피신청인이 이 사건 조정과정에서…",제2조 · 제15조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2048&VA=content,https://datalaw.kr/mediation/#m-2048
54,2025,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,전산망 해킹으로 인한 개인정보 유출에 대한 손해배상 등 요구,15만원; 5만원,"손해배상(중요정보 15만원, 일반정보 5만원), 재발방지 조치","피신청인이 안전조치 의무 등을 다하지 못하여 개인정보가 유출됨으로써 개인정보자기결정권이 침해되었으며, 유출된 개인정보도 회수되지 않아 스팸메일 등 2차 피해 우려가 있어, 신청인들이 정신적 고통을 겪었음을 인정할 수 있음",제2조 · 제29조 · 제34조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2039&VA=content,https://datalaw.kr/mediation/#m-2039
55,2025,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,개인정보 유출에 대한 손해배상 등 요구,15만원,"손해배상(15만원), 재발방지 조치",피신청인이 비밀번호 변경과 같이 민감한 데이터에 접근하는 기능을 구현하면서 적절한 점검 없이 소스코드를 도입·배포한 행위 및 사전에 공격 시도를 의심할 수 있는 과도한 접속 시도가 있었음에도 이를 확인하지 못하는 등 안전조치를 다하지 않은 행위는…,제29조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2038&VA=content,https://datalaw.kr/mediation/#m-2038
56,2025,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,개인영상정보 열람 거절 등에 따른 손해배상 등 요구,,재발방지 조치,피신청인은 영상정보 열람 방법 및 절차 등을 구체적으로 알 수 있도록 제도를 개선할 필요,제2조 · 제6조 · 제18조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2029&VA=content,https://datalaw.kr/mediation/#m-2029
57,2025,조정결정사례,동의 없는 개인정보 수집,동의 없이 개인정보를 처리한 것에 대한 손해배상 등 요구,,"재발방지 조치, 손해배상 기각",피신청인이 동의 없이 개인정보를 처리한 것은 보호법을 위반한 것으로 이와 같은 일이 발생되지 않도록 소속직원 대상 재발방지 교육을 실시할 필요가 있음,제2조 · 제15조 · 제24조 · 제39조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2028&VA=content,https://datalaw.kr/mediation/#m-2028
58,2025,조정결정사례,동의 없는 개인정보 수집,동의 없는 개인정보 수집에 대한 침해행위 중지 등 요구,,기각,"신청인이 피신청인으로부터 메일을 받게 된 사실은 인정되나, 이는 피신청인이 신청인 이메일과 대소문자가 다른 유사한 이메일을 사용하는 회원에게 안내메일을 발송하는 과정에서…",제15조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2024&VA=content,https://datalaw.kr/mediation/#m-2024
59,2025,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,동의 없이 개인정보를 제3자에게 제공한 것에 대한 손해배상 등 요구,"100,000원",손해배상 및 재발방지 조치,"본 건의 정보공개 청구내역은 도시정비법 제124조 제1항 내지 같은 법 시행령 제94조 각호 소정의 필수 공개대상이 되는 서류 등에 해당한다고는 보기 어렵고, 특히 정보공개를 청구한 자의 성명 등은 공개대상 정보에 해당한다고는 볼 수 없음",제2조 · 제18조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2023&VA=content,https://datalaw.kr/mediation/#m-2023
60,2025,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,개인정보 삭제 요구 불응에 대한 손해배상 등 요구,,기각,"피신청인은 신청인의 개인정보 삭제 요청에 따라 삭제 완료하고, 신청인에게 삭제 완료 문자를 회신한 것은 보호법 제36조 제2항에 따라 처리한 것으로 보여짐",제2조 · 제36조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2022&VA=content,https://datalaw.kr/mediation/#m-2022
61,2025,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보 처리정지 요구 거절 등에 대한 침해행위 중지 요구,,침해행위 중지,피신청인이 신청인의 개인정보 처리정지 요구를 거절한 행위는 피신청인이 신청인의 개인정보 처리정지 요구를 거절하지 아니하면 정보주체와 약정한 서비스를 제공하지 못하는 등 계약의 이행이 곤란한 경우에 해당하므로…,제2조 · 제37조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2021&VA=content,https://datalaw.kr/mediation/#m-2021
62,2024,조정결정사례,동의 없는 개인정보 수집,문자수신을 거부하였음에도 문자를 발송한 것에 대한 손해배상 등 요구,30만 원,기각,"피신청인이 업무처리를 위하여 신청인의 연락처를 저장하였고, 신청인이 민원을 제기하자 개인정보를 삭제처리하였으나, 피신청인의 휴대전화 동기화 과정에서 신청인의 연락처가 착오로 포함되어 문자를 발송하게 된 것은 실수에 불과한 것으로 이를 두고…",제28조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2004&VA=content,https://datalaw.kr/mediation/#m-2004
63,2024,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,개인정보 열람청구 거부에 대한 침해행위 중지 등 요구,,기각,미환수 수수료 채권 회수를 위하여 개인정보를 보유하는 것은 보호법에 위반되지 않음. 신청인의 재직 당시는 보호법 제정 이전으로 민간기업의 개인정보 동의 의무에 대하여 강제규정이 없었음,제2조 · 제15조 · 제21조 · 제35조 · 제40조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2003&VA=content,https://datalaw.kr/mediation/#m-2003
64,2024,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보 무단 이관한 것에 대한 손해배상 등 요구,,기각,피신청인 소속 감사관실은 신청인의 개인정보가 담긴 다수의 국민신문고 민원을 소방본부로 이관하였으나 이는 피신청인 소속의 보조기관인 감사관실이 피신청인의 업무 수행을 위하여 다른 보조기관인 소방본부로 민원을 이송한 것에 불과할 뿐…,제2조 · 제17조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2002&VA=content,https://datalaw.kr/mediation/#m-2002
65,2024,조정결정사례,동의 없는 개인정보 수집,동의 없는 개인정보 수집에 대한 침해행위 중지 등 요구,,기각,"피신청인은 제3자 회원가입하면서 오기재한 이메일 주소로 회원가입 환영 메일이 자동 발송된 것으로 피신청인이 신청인의 개인정보를 수집하고자 하는 의도는 없었고, 신청인의 개인정보를 삭제처리하고, 이메일 인증시스템 도입 등 재발방지 약속함",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2001&VA=content,https://datalaw.kr/mediation/#m-2001
66,2024,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보의 제3자 제공에 대한 제도개선 등 요구,,재발방지 조치,"2개 서비스의 개인정보처리자가 동일한 이상, 피신청인이 2개의 서비스를 하나의 개인정보처리시스템으로 관리하고 있는 행위만으로 보호법 제17조 등 위반에 해당한다고 보기 어려움",제2조 · 제17조 · 제30조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2000&VA=content,https://datalaw.kr/mediation/#m-2000
67,2024,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,개인정보 유출에 대한 손해배상 등 요구,,기각,"신청인은 기기변경 과정에서 개인정보의 수집이 발생했고 이로 인하여 유출사고가 발생할 우려가 있다고 주장하고 있으나, 이에 대한 증빙자료는 달리 제출하지 못하고 있고, 피신청인은 신청인의 개인정보가 기기변경 과정에서…",제2조 · 제29조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1999&VA=content,https://datalaw.kr/mediation/#m-1999
68,2024,조정결정사례,과도한 개인정보 수집,예약정보 외 신분증 확인 등 과도한 개인정보수집에 대한 침해행위의 중지 등 요구,2천원,기각,"피신청인이 「주민등록법」 제25조 제1항에 따라 신청인의 신분증을 확인한 것은 「개인정보 보호법」 제15조 제1항의 수집에 해당한다고 볼 수는 없으므로, 피신청인이 「개인정보 보호법」을 위반하였다고…",제2조 · 제15조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1998&VA=content,https://datalaw.kr/mediation/#m-1998
69,2024,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,해킹으로 인한 개인정보 유출에 대한 손해배상 등 요구,"150,000원; 50,000원","손해배상, 재발방지 조치","피신청인이 안전성 확보조치를 다하지 못하여 개인정보가 유출됨으로써 개인정보자기결정권이 침해되었음. 유출된 개인정보도 회수되지 않아 보이스피싱 등 2차 피해우려가 있어, 신청인들이 정신적 고통을 겪었음을 인정할 수 있음",제2조 · 제24조의2 · 제29조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1988&VA=content,https://datalaw.kr/mediation/#m-1988
70,2024,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,신청인의 민원제기 사실을 제공·공유한 것에 대한 손해배상 등 요구,,기각,"피신청인1의 진술이 사실조사 과정에서 원장 모임에서 들은 정보가 아니라 노동위원회 조사관들의 대화를 우연히 듣게 된 것으로 변경되는 등 일관성이 없으며, 신청인의 주장을 입증할 만한 다른 증거가 존재하지 않으므로 법 위반 주장을 받아들일 수 없음",제2조 · 제15조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1968&VA=content,https://datalaw.kr/mediation/#m-1968
71,2024,조정결정사례,기타 개인정보 침해,개인정보 유출에 따른 손해배상 등 요구,,기각,"신청인은 피신청인의 시스템 오류로 인하여 이메일이 오전송되었다고 주장하고 있고, 피신청인은 신청인이 기재한 이메일 수신자가 수신메일을 특정 이메일로 전달되도록 한 경우 등에서 발생하며 이는 해당 수신자들의 메일 시스템에서 처리되는 것으로…",제2조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1967&VA=content,https://datalaw.kr/mediation/#m-1967
72,2024,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,신청인의 민원제기 사실을 유출한 것에 대한 재발방지 등 요구,,기각,"피신청인 사무국장이 신청인의 민원제기 사실을 발설한 행위는 피신청인 사무국장 개인이 공개된 장소에서 자신의 추측을 부주의하게 언급한 행위에 불과한것으로서, 해당 행위가 형사법상 명예훼손에 해당하는지 여부는 별론으로 하더라도 이를 두고…",제2조 · 제29조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1966&VA=content,https://datalaw.kr/mediation/#m-1966
73,2024,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보 목적 외 제3자 제공에 대한 재발방지 조치 요구,,재발방지 조치,"신청인은 강의 반대 민원의 처리를 위해 피신청인에게 자신의 개인정보를 제공하였고, A경찰서에 접수된 고소 사건이 피신청인의 강의 취소 및 신청인의 민원 제기와 직접적으로 관련되어 있었으며…",제18조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1965&VA=content,https://datalaw.kr/mediation/#m-1965
